time,PressureIn,PressureOut,MotorCurrent,StuffingBoxTemp,Passage
2017-07-30T19:34:37.758Z,1.0,2.90287,50.0,25.0,249.177
2017-07-30T19:34:38.758Z,1.0,2.90223,50.0,25.0,245.533
2017-07-30T19:34:39.757Z,1.0,3.04067,50.0,25.0,244.589
2017-07-30T19:34:40.758Z,1.0,3.09166,49.0,25.0,249.023
2017-07-30T19:34:41.758Z,1.0,3.05353,50.0,25.0,246.424
2017-07-30T19:34:42.756Z,1.0,2.91425,51.0,25.0,243.452
2017-07-30T19:34:43.758Z,1.0,2.96873,51.0,25.0,242.542
2017-07-30T19:34:44.757Z,1.0,3.04897,50.0,25.0,249.95
2017-07-30T19:34:45.758Z,1.0,3.07272,51.0,25.0,247.827
2017-07-30T19:34:46.758Z,1.0,3.06508,50.0,25.0,241.71
2017-07-30T19:34:47.757Z,1.0,2.94263,50.0,25.0,247.087
2017-07-30T19:34:48.757Z,1.0,3.08472,50.0,25.0,248.937
2017-07-30T19:34:49.758Z,1.0,3.09885,51.0,25.0,240.084
2017-07-30T19:34:50.757Z,1.0,2.94454,51.0,25.0,245.513
2017-07-30T19:34:51.756Z,1.0,2.92697,49.0,25.0,248.997
2017-07-30T19:34:52.758Z,1.0,3.00508,51.0,25.0,242.534
2017-07-30T19:34:53.758Z,1.0,2.90191,49.0,25.0,240.851
2017-07-30T19:34:54.757Z,1.0,2.96818,50.0,25.0,242.234
2017-07-30T19:34:55.759Z,1.0,3.04145,51.0,25.0,243.358
2017-07-30T19:34:56.756Z,1.0,2.92061,49.0,25.0,247.023
2017-07-30T19:34:57.758Z,1.0,2.94467,49.0,25.0,248.327
2017-07-30T19:34:58.758Z,1.0,3.0523,51.0,25.0,243.897
2017-07-30T19:34:59.757Z,1.0,2.95892,49.0,25.0,248.614
2017-07-30T19:35:00.757Z,1.0,3.02463,51.0,25.0,245.412
2017-07-30T19:35:01.757Z,1.0,2.99099,49.0,25.0,248.748
2017-07-30T19:35:02.757Z,1.0,2.91282,51.0,25.0,246.096
2017-07-30T19:35:03.757Z,1.0,3.05999,49.0,25.0,242.121
2017-07-30T19:35:04.760Z,1.0,2.94235,51.0,25.0,248.82
2017-07-30T19:35:05.758Z,1.0,2.90524,50.0,25.0,245.228
2017-07-30T19:35:06.757Z,1.0,3.00683,50.0,25.0,240.517
2017-07-30T19:35:07.757Z,1.0,3.03813,50.0,25.0,248.135
2017-07-30T19:35:08.758Z,1.0,2.91936,51.0,25.0,241.942
2017-07-30T19:35:09.758Z,1.0,2.98645,49.0,25.0,246.384
2017-07-30T19:35:10.758Z,1.0,3.03534,51.0,25.0,243.272
2017-07-30T19:35:11.757Z,1.0,2.94886,51.0,25.0,249.184
2017-07-30T19:35:12.757Z,1.0,3.01846,50.0,25.0,247.291
2017-07-30T19:35:13.757Z,1.0,3.08096,51.0,25.0,248.188
2017-07-30T19:35:14.757Z,1.0,3.02619,50.0,25.0,246.217
2017-07-30T19:35:15.760Z,1.0,2.9968,49.0,25.0,246.756
2017-07-30T19:35:16.758Z,1.0,2.9933,49.0,25.0,247.885
2017-07-30T19:35:17.758Z,1.0,3.01741,49.0,25.0,247.475
2017-07-30T19:35:18.757Z,1.0,2.91576,49.0,25.0,243.439
2017-07-30T19:35:19.758Z,1.0,3.05441,50.0,25.0,242.242
2017-07-30T19:35:20.758Z,1.0,3.00784,49.0,25.0,243.094
2017-07-30T19:35:21.757Z,1.0,3.00762,50.0,25.0,240.551
2017-07-30T19:35:22.758Z,1.0,3.04827,51.0,25.0,240.119
2017-07-30T19:35:23.757Z,1.0,3.00615,50.0,25.0,244.063
2017-07-30T19:35:24.758Z,1.0,3.07017,49.0,25.0,247.303
2017-07-30T19:35:25.758Z,1.0,2.95735,49.0,25.0,245.334
2017-07-30T19:35:26.757Z,1.0,2.91138,51.0,25.0,245.932
2017-07-30T19:35:27.757Z,1.0,2.91168,49.0,25.0,241.938
2017-07-30T19:35:28.757Z,1.0,2.94958,51.0,25.0,246.108
2017-07-30T19:35:29.758Z,1.0,2.93057,50.0,25.0,240.471
2017-07-30T19:35:30.757Z,1.0,2.92691,51.0,25.0,240.201
2017-07-30T19:35:31.757Z,1.0,3.08202,49.0,25.0,244.207
2017-07-30T19:35:32.758Z,1.0,3.04563,49.0,25.0,249.709
2017-07-30T19:35:33.758Z,1.0,2.91086,51.0,25.0,249.862
