,Tb_model,Tb_mod_n,TimeStamp,epoc
0,135.8464185,135.78661830000001,2019-01-27T18:39:21.662351Z,1548632361.0
1,136.1039694,135.97244740000002,2019-01-27T19:39:21.662351Z,1548635961.0
2,136.38262690000002,136.1808219,2019-01-27T20:39:21.662351Z,1548639561.0
3,136.309822,136.0658759,2019-01-27T21:39:21.662351Z,1548643161.0
4,136.25166389999998,135.96516359999998,2019-01-27T22:39:21.662351Z,1548646761.0
5,136.24545369999998,135.91399750000002,2019-01-27T23:39:21.662351Z,1548650361.0
6,136.2479644,135.86812959999997,2019-01-28T00:39:21.662351Z,1548653961.0
7,136.2725108,135.84682959999998,2019-01-28T01:39:21.662351Z,1548657561.0
8,136.2814128,135.8143023,2019-01-28T02:39:21.662351Z,1548661161.0
9,136.219424,135.70700269999998,2019-01-28T03:39:21.662351Z,1548664761.0
10,136.02670769999997,135.4793052,2019-01-28T04:39:21.662351Z,1548668361.0
11,135.88111659999998,135.2956808,2019-01-28T05:39:21.662351Z,1548671961.0
12,135.9961051,135.3490742,2019-01-28T06:39:21.662351Z,1548675561.0
13,135.93716519999998,135.2431573,2019-01-28T07:39:21.662351Z,1548679161.0
14,135.83694640000002,135.1053903,2019-01-28T08:39:21.662351Z,1548682761.0
15,135.93452130000003,135.14379680000002,2019-01-28T09:39:21.662351Z,1548686361.0
16,136.1319843,135.2788184,2019-01-28T10:39:21.662351Z,1548689961.0
17,136.2436775,135.33414299999998,2019-01-28T11:39:21.662351Z,1548693561.0
18,136.3360699,135.3730378,2019-01-28T12:39:21.662351Z,1548697161.0
19,136.300802,135.2939781,2019-01-28T13:39:21.662351Z,1548700761.0
20,136.46105469999998,135.3966659,2019-01-28T14:39:21.662351Z,1548704361.0
21,136.4647663,135.3544733,2019-01-28T15:39:21.662351Z,1548707961.0
22,136.55560680000002,135.3918999,2019-01-28T16:39:21.662351Z,1548711561.0
23,136.62444340000002,135.408392,2019-01-28T17:39:21.662351Z,1548715161.0
24,136.4708217,135.22841330000003,2019-01-28T18:39:21.662351Z,1548718761.0
25,136.5293773,135.24542150000002,2019-01-28T19:39:21.662351Z,1548722361.0
